Gene,Drug,RxNorm,ATC,Guideline,CPICLevel,CPICLevelStatus,PharmGKBLevel,FDALabel,PMID
HLA-B,abacavir,190521,"J05AF06, J05AR02, J05AR13, J05AR04",https://cpicpgx.org/guidelines/guideline-for-abacavir-and-hla-b/,A,Final,1A,Testing required,24561393;22378157
HLA-B,allopurinol,519,"M04AA01, M04AA51",https://cpicpgx.org/guidelines/guideline-for-allopurinol-and-hla-b/,A,Final,1A,Testing recommended,23232549;26094938
MT-RNR1,amikacin,641,"D06AX12, J01GB06, S01AA21",https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,A,Final,1A,,34032273
CYP2C19,amitriptyline,704,"N06AA09, N06CA01",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,A,Final,1A,,23486447;27997040
CYP2D6,amitriptyline,704,"N06AA09, N06CA01",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,A,Final,1A,Actionable PGx,23486447;27997040
UGT1A1,atazanavir,343047,"J05AE08, J05AR15",https://cpicpgx.org/guidelines/guideline-for-atazanavir-and-ugt1a1/,A,Final,1A,,26417955
CYP2D6,atomoxetine,38400,N06BA09,https://cpicpgx.org/guidelines/cpic-guideline-for-atomoxetine-based-on-cyp2d6-genotype/,A,Final,1A,Actionable PGx,30801677
SLCO1B1,atorvastatin,83367,C10AA05,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,A,Final,1A,Informative PGx,35152405
NUDT15,azathioprine,1256,L04AX01,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt/,A,Final,1A,Testing recommended,21270794;23422873;30447069
TPMT,azathioprine,1256,L04AX01,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt/,A,Final,1A,Testing recommended,21270794;23422873;30447069
DPYD,capecitabine,194000,L01BC06,https://cpicpgx.org/guidelines/guideline-for-fluoropyrimidines-and-dpyd/,A,Final,1A,Actionable PGx,23988873;29152729
HLA-A,carbamazepine,2002,N03AF01,https://cpicpgx.org/guidelines/guideline-for-carbamazepine-and-hla-b/,A,Final,1A,Actionable PGx,23695185;29392710
HLA-B,carbamazepine,2002,N03AF01,https://cpicpgx.org/guidelines/guideline-for-carbamazepine-and-hla-b/,A,Final,1A,Testing required,23695185;29392710
CYP2C9,celecoxib,140587,"L01XX33, M01AH01",https://cpicpgx.org/guidelines/cpic-guideline-for-nsaids-based-on-cyp2c9-genotype/,A,Final,1A,Actionable PGx,32189324
CYP2C19,citalopram,2556,N06AB04,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,A,Final,1A,Actionable PGx,25974703;37032427
CYP2C19,clopidogrel,32968,B01AC04,https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/,A,Final,1A,Actionable PGx,21716271;23698643;35034351
CYP2D6,codeine,2670,"R05DA04, N02AA59, N02AA79",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,A,Final,1A,Actionable PGx,22205192;24458010;33387367
G6PD,dapsone,3108,"D10AX05, J04BA02",https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,A,Final,4,Actionable PGx,36049896
CACNA1S,desflurane,27340,N01AB07,https://cpicpgx.org/guidelines/cpic-guideline-for-ryr1-and-cacna1s/,A,Final,1A,Actionable PGx,30499100
RYR1,desflurane,27340,N01AB07,https://cpicpgx.org/guidelines/cpic-guideline-for-ryr1-and-cacna1s/,A,Final,1A,Actionable PGx,30499100
MT-RNR1,dibekacin,3328,J01GB09,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,A,Final,1A,,34032273
CYP2B6,efavirenz,195085,J05AG03,https://cpicpgx.org/guidelines/cpic-guideline-for-efavirenz-based-on-cyp2b6-genotype/,A,Final,1A,Actionable PGx,31006110
CACNA1S,enflurane,3920,N01AB04,https://cpicpgx.org/guidelines/cpic-guideline-for-ryr1-and-cacna1s/,A,Final,1A,Actionable PGx,30499100
RYR1,enflurane,3920,N01AB04,https://cpicpgx.org/guidelines/cpic-guideline-for-ryr1-and-cacna1s/,A,Final,1A,Actionable PGx,30499100
CYP2C19,escitalopram,321988,N06AB10,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,A,Final,1A,Actionable PGx,25974703;37032427
DPYD,fluorouracil,4492,"L01BC02, L01BC52",https://cpicpgx.org/guidelines/guideline-for-fluoropyrimidines-and-dpyd/,A,Final,1A,Actionable PGx,23988873;29152729
