Drug,Gene1,Phenotype1,Gene2,Phenotype2,Recommendation
tacrolimus,CYP3A5,Normal Metabolizer,None,None,Increase starting dose 1.5 to 2 times recommended starting dose. Total starting dose should not exceed 0.3 mg/kg/day. Use therapeutic drug monitoring to guide dose adjustments.
tacrolimus,CYP3A5,Intermediate Metabolizer,None,None,Increase starting dose 1.5 to 2 times recommended starting dose. Total starting dose should not exceed 0.3 mg/kg/day. Use therapeutic drug monitoring to guide dose adjustments.
tacrolimus,CYP3A5,Possible Intermediate Metabolizer,None,None,None
tacrolimus,CYP3A5,Poor Metabolizer,None,None,Initiate therapy with standard recommended dose. Use therapeutic drug monitoring to guide dose adjustments.
tacrolimus,CYP3A5,Indeterminate,None,None,None
efavirenz,CYP2B6,Ultrarapid Metabolizer,None,None,Initiate efavirenz with standard dosing (600 mg/day).
efavirenz,CYP2B6,Rapid Metabolizer,None,None,Initiate efavirenz with standard dosing (600 mg/day).
efavirenz,CYP2B6,Normal Metabolizer,None,None,Initiate efavirenz with standard dosing (600 mg/day).
efavirenz,CYP2B6,Intermediate Metabolizer,None,None,Consider initiating efavirenz with decreased dose of 400 mg/day.
efavirenz,CYP2B6,Poor Metabolizer,None,None,Consider initiating efavirenz with decreased dose of 400 or 200 mg/day.
efavirenz,CYP2B6,Indeterminate,None,None,None
meloxicam,CYP2C9,Normal Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
meloxicam,CYP2C9,Intermediate Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the meloxicam prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
meloxicam,CYP2C9,Poor Metabolizer,None,None,"Choose an alternative therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo or choose an NSAID metabolized by CYP2C9 but with a shorter half-life (see CPIC THERAPEUTIC RECOMMENDATIONS FOR CELECOXIB, FLURBIPROFEN, LORNOXICAM, AND IBUPROFEN BASED ON CYP2C9 PHENOTYPE)."
meloxicam,CYP2C9,Indeterminate,None,None,None
piroxicam,CYP2C9,Normal Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
piroxicam,CYP2C9,Intermediate Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
piroxicam,CYP2C9,Poor Metabolizer,None,None,"Choose an alternative therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo or choose an NSAID metabolized by CYP2C9 but with a shorter half-life (see CPIC THERAPEUTIC RECOMMENDATIONS FOR CELECOXIB, FLURBIPROFEN, LORNOXICAM, AND IBUPROFEN BASED ON CYP2C9 PHENOTYPE)."
piroxicam,CYP2C9,Indeterminate,None,None,None
tenoxicam,CYP2C9,Normal Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
tenoxicam,CYP2C9,Intermediate Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
tenoxicam,CYP2C9,Poor Metabolizer,None,None,"Choose an alternative therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo or choose an NSAID metabolized by CYP2C9 but with a shorter half-life (see CPIC THERAPEUTIC RECOMMENDATIONS FOR CELECOXIB, FLURBIPROFEN, LORNOXICAM, AND IBUPROFEN BASED ON CYP2C9 PHENOTYPE)."
tenoxicam,CYP2C9,Indeterminate,None,None,None
celecoxib,CYP2C9,Normal Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
celecoxib,CYP2C9,Intermediate Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
celecoxib,CYP2C9,Poor Metabolizer,None,None,"Initiate therapy with 25-50% of the lowest recommended starting dose. Titrate dose upward to clinical effect or 25-50% of the maximum recommended dose with caution. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals. Upward dose titration should not occur until after steady state is reached (at least 8 days for celecoxib after first dose in PMs). Carefully monitor adverse events such as blood pressure and kidney function during course of therapy. Alternatively, consider an alternate therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo."
celecoxib,CYP2C9,Indeterminate,None,None,None
flurbiprofen,CYP2C9,Normal Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
flurbiprofen,CYP2C9,Intermediate Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
flurbiprofen,CYP2C9,Poor Metabolizer,None,None,"Initiate therapy with 25-50% of the lowest recommended starting dose. Titrate dose upward to clinical effect or 25-50% of the maximum recommended dose with caution. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals. Upward dose titration should not occur until after steady state is reached (at least 8 days for celecoxib after first dose in PMs). Carefully monitor adverse events such as blood pressure and kidney function during course of therapy. Alternatively, consider an alternate therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo."
flurbiprofen,CYP2C9,Indeterminate,None,None,None
ibuprofen,CYP2C9,Normal Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
ibuprofen,CYP2C9,Intermediate Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
ibuprofen,CYP2C9,Poor Metabolizer,None,None,"Initiate therapy with 25-50% of the lowest recommended starting dose. Titrate dose upward to clinical effect or 25-50% of the maximum recommended dose with caution. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals. Upward dose titration should not occur until after steady state is reached (at least 8 days for celecoxib after first dose in PMs). Carefully monitor adverse events such as blood pressure and kidney function during course of therapy. Alternatively, consider an alternate therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo."
ibuprofen,CYP2C9,Indeterminate,None,None,None
lornoxicam,CYP2C9,Normal Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
lornoxicam,CYP2C9,Intermediate Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
lornoxicam,CYP2C9,Poor Metabolizer,None,None,"Initiate therapy with 25-50% of the lowest recommended starting dose. Titrate dose upward to clinical effect or 25-50% of the maximum recommended dose with caution. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals. Upward dose titration should not occur until after steady state is reached (at least 8 days for celecoxib after first dose in PMs). Carefully monitor adverse events such as blood pressure and kidney function during course of therapy. Alternatively, consider an alternate therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo."
lornoxicam,CYP2C9,Indeterminate,None,None,None
