gene	number	name	rules
abcb1	1	unknown_metabolizer	<:0,
abcb1	2	poor_metabolizer	==:0,
abcb1	3	intermediate_metabolizer	>:0,<=:1,
abcb1	4	normal_metabolizer	>:1,<=:2,
abcb1	5	rapid_metabolizer	>:2,<=:2.5,
abcb1	6	ultrarapid_metabolizer	>:2.5,
cacna1s	1	unknown_metabolizer	<:0,
cacna1s	2	poor_metabolizer	==:0,
cacna1s	3	intermediate_metabolizer	>:0,<=:1,
cacna1s	4	normal_metabolizer	>:1,<=:2,
cacna1s	5	rapid_metabolizer	>:2,<=:2.5,
cacna1s	6	ultrarapid_metabolizer	>:2.5,
cftr	1	unknown_metabolizer	<:0,
cftr	2	poor_metabolizer	==:0,
cftr	3	intermediate_metabolizer	>:0,<=:1,
cftr	4	normal_metabolizer	>:1,<=:2,
cftr	5	rapid_metabolizer	>:2,<=:2.5,
cftr	6	ultrarapid_metabolizer	>:2.5,
cyp1a1	1	unknown_metabolizer	<:0,
cyp1a1	2	poor_metabolizer	==:0,
cyp1a1	3	intermediate_metabolizer	>:0,<=:1,
cyp1a1	4	normal_metabolizer	>:1,<=:2,
cyp1a1	5	rapid_metabolizer	>:2,<=:2.5,
cyp1a1	6	ultrarapid_metabolizer	>:2.5,
cyp1a2	1	unknown_metabolizer	<:0,
cyp1a2	2	poor_metabolizer	==:0,
cyp1a2	3	intermediate_metabolizer	>:0,<=:1,
cyp1a2	4	normal_metabolizer	>:1,<=:2,
cyp1a2	5	rapid_metabolizer	>:2,<=:2.5,
cyp1a2	6	ultrarapid_metabolizer	>:2.5,
cyp1b1	1	unknown_metabolizer	<:0,
cyp1b1	2	poor_metabolizer	==:0,
cyp1b1	3	intermediate_metabolizer	>:0,<=:1,
cyp1b1	4	normal_metabolizer	>:1,<=:2,
cyp1b1	5	rapid_metabolizer	>:2,<=:2.5,
cyp1b1	6	ultrarapid_metabolizer	>:2.5,
cyp2a6	1	unknown_metabolizer	<:0,
cyp2a6	2	poor_metabolizer	==:0,
cyp2a6	3	slow_metabolizer	>:0,<:2,
cyp2a6	4	normal_metabolizer	==:2,
cyp2a6	5	ultrarapid_metabolizer	>:2,
cyp2a13	1	unknown_metabolizer	<:0,
cyp2a13	2	poor_metabolizer	==:0,
cyp2a13	3	intermediate_metabolizer	>:0,<=:1,
cyp2a13	4	normal_metabolizer	>:1,<=:2,
cyp2a13	5	rapid_metabolizer	>:2,<=:2.5,
cyp2a13	6	ultrarapid_metabolizer	>:2.5,
cyp2b6	1	unknown_metabolizer	<:0,
cyp2b6	2	poor_metabolizer	==:0,
cyp2b6	3	intermediate_metabolizer	>:0,<=:1,
cyp2b6	4	normal_metabolizer	>:1,<=:2,
cyp2b6	5	rapid_metabolizer	>:2,<=:2.5,
cyp2b6	6	ultrarapid_metabolizer	>:2.5,
cyp2c8	1	unknown_metabolizer	<:0,
cyp2c8	2	poor_metabolizer	==:0,
cyp2c8	3	intermediate_metabolizer	>:0,<=:1,
cyp2c8	4	normal_metabolizer	>:1,<=:2,
cyp2c8	5	rapid_metabolizer	>:2,<=:2.5,
cyp2c8	6	ultrarapid_metabolizer	>:2.5,
cyp2c9	1	unknown_metabolizer	<:0,
cyp2c9	2	poor_metabolizer	==:0,
cyp2c9	3	intermediate_metabolizer	>:0,<=:1,
cyp2c9	4	normal_metabolizer	>:1,<=:2,
cyp2c9	5	rapid_metabolizer	>:2,<=:2.5,
cyp2c9	6	ultrarapid_metabolizer	>:2.5,
cyp2c19	1	unknown_metabolizer	<:0,
cyp2c19	2	poor_metabolizer	==:0,
cyp2c19	3	intermediate_metabolizer	>:0,<=:1,
cyp2c19	4	normal_metabolizer	>:1,<=:2,
cyp2c19	5	rapid_metabolizer	>:2,<=:2.5,
cyp2c19	6	ultrarapid_metabolizer	>:2.5,
cyp2d6	1	unknown_metabolizer	<:0,
cyp2d6	2	poor_metabolizer	==:0,
cyp2d6	3	intermediate_metabolizer	>:0,<=:1,
cyp2d6	4	normal_metabolizer	>:1,<=:2.25,
cyp2d6	5	ultrarapid_metabolizer	>:2.25,
cyp2e1	1	unknown_metabolizer	<:0,
cyp2e1	2	poor_metabolizer	==:0,
cyp2e1	3	intermediate_metabolizer	>:0,<=:1,
cyp2e1	4	normal_metabolizer	>:1,<=:2,
cyp2e1	5	rapid_metabolizer	>:2,<=:2.5,
cyp2e1	6	ultrarapid_metabolizer	>:2.5,
cyp2f1	1	unknown_metabolizer	<:0,
cyp2f1	2	poor_metabolizer	==:0,
cyp2f1	3	intermediate_metabolizer	>:0,<=:1,
cyp2f1	4	normal_metabolizer	>:1,<=:2,
cyp2f1	5	rapid_metabolizer	>:2,<=:2.5,
cyp2f1	6	ultrarapid_metabolizer	>:2.5,
cyp2j2	1	unknown_metabolizer	<:0,
cyp2j2	2	poor_metabolizer	==:0,
cyp2j2	3	intermediate_metabolizer	>:0,<=:1,
cyp2j2	4	normal_metabolizer	>:1,<=:2,
cyp2j2	5	rapid_metabolizer	>:2,<=:2.5,
cyp2j2	6	ultrarapid_metabolizer	>:2.5,
cyp2r1	1	unknown_metabolizer	<:0,
cyp2r1	2	poor_metabolizer	==:0,
cyp2r1	3	intermediate_metabolizer	>:0,<=:1,
cyp2r1	4	normal_metabolizer	>:1,<=:2,
cyp2r1	5	rapid_metabolizer	>:2,<=:2.5,
cyp2r1	6	ultrarapid_metabolizer	>:2.5,
cyp2s1	1	unknown_metabolizer	<:0,
cyp2s1	2	poor_metabolizer	==:0,
cyp2s1	3	intermediate_metabolizer	>:0,<=:1,
cyp2s1	4	normal_metabolizer	>:1,<=:2,
cyp2s1	5	rapid_metabolizer	>:2,<=:2.5,
