Gene,Diplotype,Phenotype
CYP2B6,*1/*1,Normal Metabolizer
CYP2B6,*1/*2,Normal Metabolizer
CYP2B6,*1/*3,Indeterminate
CYP2B6,*1/*4,Rapid Metabolizer
CYP2B6,*1/*5,Normal Metabolizer
CYP2B6,*1/*6,Intermediate Metabolizer
CYP2B6,*1/*7,Intermediate Metabolizer
CYP2B6,*1/*8,Intermediate Metabolizer
CYP2B6,*1/*9,Intermediate Metabolizer
CYP2B6,*1/*10,Indeterminate
CYP2B6,*1/*11,Indeterminate
CYP2B6,*1/*12,Intermediate Metabolizer
CYP2B6,*1/*13,Intermediate Metabolizer
CYP2B6,*1/*14,Indeterminate
CYP2B6,*1/*15,Indeterminate
CYP2B6,*1/*17,Normal Metabolizer
CYP2B6,*1/*18,Intermediate Metabolizer
CYP2B6,*1/*19,Intermediate Metabolizer
CYP2B6,*1/*20,Intermediate Metabolizer
CYP2B6,*1/*21,Indeterminate
CYP2B6,*1/*22,Rapid Metabolizer
CYP2B6,*1/*23,Indeterminate
CYP2B6,*1/*24,Intermediate Metabolizer
CYP2B6,*1/*25,Indeterminate
CYP2B6,*1/*26,Intermediate Metabolizer
CYP2B6,*1/*27,Indeterminate
CYP2B6,*1/*28,Intermediate Metabolizer
CYP2B6,*1/*29,Intermediate Metabolizer
CYP2B6,*1/*30,Intermediate Metabolizer
CYP2B6,*1/*31,Normal Metabolizer
CYP2B6,*1/*32,Normal Metabolizer
CYP2B6,*1/*33,Indeterminate
CYP2B6,*1/*34,Intermediate Metabolizer
CYP2B6,*1/*35,Intermediate Metabolizer
CYP2B6,*1/*36,Intermediate Metabolizer
CYP2B6,*1/*37,Intermediate Metabolizer
CYP2B6,*1/*38,Intermediate Metabolizer
CYP2B6,*2/*2,Normal Metabolizer
CYP2B6,*2/*3,Indeterminate
CYP2B6,*2/*4,Rapid Metabolizer
CYP2B6,*2/*5,Normal Metabolizer
CYP2B6,*2/*6,Intermediate Metabolizer
CYP2B6,*2/*7,Intermediate Metabolizer
CYP2B6,*2/*8,Intermediate Metabolizer
CYP2B6,*2/*9,Intermediate Metabolizer
CYP2B6,*2/*10,Indeterminate
CYP2B6,*2/*11,Indeterminate
CYP2B6,*2/*12,Intermediate Metabolizer
CYP2B6,*2/*13,Intermediate Metabolizer
CYP2B6,*2/*14,Indeterminate
CYP2B6,*2/*15,Indeterminate
CYP2B6,*2/*17,Normal Metabolizer
