chemical	gene	url	type	summary	phenotype	recommendation
abacavir	HLA-B	https://pharmgkb.org/guidelineAnnotation/PA166104997	case1	In individuals with the HLA-B*57:01 variant allele ("HLA-B*57:01-positive"), abacavir is not recommended and should be considered only under exceptional circumstances. See full guideline for disclaimers, further details and supporting evidence.	Very low risk of hypersensitivity (constitutes ~94% of patients)	Recommendations for abacavir therapy: Use abacavir per standard dosing guidelines Classification of recommendation for abacavir therapy: Strong
abacavir	HLA-B	https://pharmgkb.org/guidelineAnnotation/PA166104997	case1	In individuals with the HLA-B*57:01 variant allele ("HLA-B*57:01-positive"), abacavir is not recommended and should be considered only under exceptional circumstances. See full guideline for disclaimers, further details and supporting evidence.	High risk of hypersensitivity (~6% of patients)	Recommendations for abacavir therapy: Abacavir is not recommended Classification of recommendation for abacavir therapy: Strong
allopurinol	HLA-B	https://pharmgkb.org/guidelineAnnotation/PA166105003	case1	Allopurinol is contraindicated in individuals with the HLA-B*58:01 variant allele ("HLA-B*58:01-positive") due to significantly increased risk of allopurinol-induced SCAR.	Low or reduced risk of allopurinol SCAR	Recommendations for allopurinol therapy: Use allopurinol per standard dosing guidelines Classification of recommendation for allopurinol therapy: Strong
allopurinol	HLA-B	https://pharmgkb.org/guidelineAnnotation/PA166105003	case1	Allopurinol is contraindicated in individuals with the HLA-B*58:01 variant allele ("HLA-B*58:01-positive") due to significantly increased risk of allopurinol-induced SCAR.	Significantly increased risk of allopurinol SCAR	Recommendations for allopurinol therapy: Allopurinol is contraindicated Classification of recommendation for allopurinol therapy: Strong
amitriptyline	CYP2C19	https://pharmgkb.org/guidelineAnnotation/PA166105006	case5	The CPIC Dosing Guideline update for amitriptyline recommends an alternative drug for CYP2D6 ultrarapid or poor metabolizers and CYP2C19 ultrarapid, rapid or poor metabolizers. If amitriptyline is warranted, consider a 50% dose reduction in CYP2D6 or CYP2C19 poor metabolizers. For CYP2D6 intermediate metabolizers, a 25% dose reduction should be considered.	CYP2C19 Ultrarapid metabolizer (~2-5% of patients)	Therapeutic recommendations: Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine.If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments. Classification of recommendations for amitriptyline: Optional
amitriptyline	CYP2C19	https://pharmgkb.org/guidelineAnnotation/PA166105006	case5	The CPIC Dosing Guideline update for amitriptyline recommends an alternative drug for CYP2D6 ultrarapid or poor metabolizers and CYP2C19 ultrarapid, rapid or poor metabolizers. If amitriptyline is warranted, consider a 50% dose reduction in CYP2D6 or CYP2C19 poor metabolizers. For CYP2D6 intermediate metabolizers, a 25% dose reduction should be considered.	CYP2C19 Rapid metabolizer (~2-30% of patients)	Therapeutic recommendations: Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine.If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments. Classification of recommendations for amitriptyline: Optional
amitriptyline	CYP2C19	https://pharmgkb.org/guidelineAnnotation/PA166105006	case5	The CPIC Dosing Guideline update for amitriptyline recommends an alternative drug for CYP2D6 ultrarapid or poor metabolizers and CYP2C19 ultrarapid, rapid or poor metabolizers. If amitriptyline is warranted, consider a 50% dose reduction in CYP2D6 or CYP2C19 poor metabolizers. For CYP2D6 intermediate metabolizers, a 25% dose reduction should be considered.	CYP2C19 Normal metabolizer (~35-50% of patients)	Therapeutic recommendations: Initiate therapy with recommended starting dose. Classification of recommendations for amitriptyline: Strong
amitriptyline	CYP2C19	https://pharmgkb.org/guidelineAnnotation/PA166105006	case5	The CPIC Dosing Guideline update for amitriptyline recommends an alternative drug for CYP2D6 ultrarapid or poor metabolizers and CYP2C19 ultrarapid, rapid or poor metabolizers. If amitriptyline is warranted, consider a 50% dose reduction in CYP2D6 or CYP2C19 poor metabolizers. For CYP2D6 intermediate metabolizers, a 25% dose reduction should be considered.	CYP2C19 Intermediate metabolizer (~18-45% of patients)	Therapeutic recommendations: Initiate therapy with recommended starting dose. Classification of recommendations for amitriptyline: Strong
amitriptyline	CYP2C19	https://pharmgkb.org/guidelineAnnotation/PA166105006	case5	The CPIC Dosing Guideline update for amitriptyline recommends an alternative drug for CYP2D6 ultrarapid or poor metabolizers and CYP2C19 ultrarapid, rapid or poor metabolizers. If amitriptyline is warranted, consider a 50% dose reduction in CYP2D6 or CYP2C19 poor metabolizers. For CYP2D6 intermediate metabolizers, a 25% dose reduction should be considered.	CYP2C19 Poor metabolizer (~2-15% of patients)	Therapeutic recommendations: Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine.For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Classification of recommendations for amitriptyline: Moderate
amitriptyline	CYP2D6	https://pharmgkb.org/guidelineAnnotation/PA166105006	case5	The CPIC Dosing Guideline update for amitriptyline recommends an alternative drug for CYP2D6 ultrarapid or poor metabolizers and CYP2C19 ultrarapid, rapid or poor metabolizers. If amitriptyline is warranted, consider a 50% dose reduction in CYP2D6 or CYP2C19 poor metabolizers. For CYP2D6 intermediate metabolizers, a 25% dose reduction should be considered.	CYP2D6 Ultrarapid metabolizer (~1-20% of patients)	Therapeutic Recommendations: Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6.If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Classification of recommendation for amitriptyline and nortriptyline: Strong
